example_id,trajectory_id,matched_role,reasoning_step_idx,action_change,optimal_to_suboptimal,sustained_optimal_to_suboptimal,suboptimal_to_optimal,commitment_onset,error_wall_left,error_wall_right,error_wall_up,error_wall_down,error_has_key,error_door_open,any_wall_error,any_current_state_error,chosen_wall_error,chosen_wall_reports_blocked,chosen_effect_error,chosen_effect_reports_hit,belief_action_conflict,any_hit_wall_after_error,any_has_key_after_error,any_door_open_after_error
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,2,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,8,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,11,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,12,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,13,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,14,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,15,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,16,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,17,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,18,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,19,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,20,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,21,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,22,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,23,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,24,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,25,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,26,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,27,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,28,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,29,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,30,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,31,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,32,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,33,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,34,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,35,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,36,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,37,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,38,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,39,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,40,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,41,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,42,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,43,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,44,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,45,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,46,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,47,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,48,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,49,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,50,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,51,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,52,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,53,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,54,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,55,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,56,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,57,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,58,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,59,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,60,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,61,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,62,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,63,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,64,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,65,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,66,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,67,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,68,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,69,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,70,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,71,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,72,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
