question_id,representation,progress_bucket_10,n_positions,accuracy,balanced_accuracy
has_key,boundary_window_mean,0,48,0.875,0.875
has_key,boundary_window_mean,1,65,0.5846153846153846,0.5844402277039848
has_key,boundary_window_mean,2,77,0.6233766233766234,0.6233108108108107
has_key,boundary_window_mean,3,68,0.7647058823529411,0.7647058823529411
has_key,boundary_window_mean,4,67,0.5970149253731343,0.5975935828877006
has_key,boundary_window_mean,5,69,0.5942028985507246,0.5949579831932773
has_key,boundary_window_mean,6,67,0.582089552238806,0.5828877005347594
has_key,boundary_window_mean,7,68,0.7352941176470589,0.7352941176470589
has_key,boundary_window_mean,8,77,0.6363636363636364,0.6358108108108108
has_key,boundary_window_mean,9,65,0.676923076923077,0.6755218216318786
has_key,boundary_window_mean,10,48,0.6041666666666666,0.6041666666666667
has_key,last_token,0,48,0.6458333333333334,0.6458333333333333
has_key,last_token,1,65,0.6923076923076923,0.6944971537001898
has_key,last_token,2,77,0.5714285714285714,0.5743243243243243
has_key,last_token,3,68,0.6764705882352942,0.6764705882352942
has_key,last_token,4,67,0.5970149253731343,0.5967023172905526
has_key,last_token,5,69,0.5942028985507246,0.5941176470588235
has_key,last_token,6,67,0.6119402985074627,0.6109625668449198
has_key,last_token,7,68,0.7352941176470589,0.7352941176470589
has_key,last_token,8,77,0.5844155844155844,0.5827702702702703
has_key,last_token,9,65,0.6307692307692307,0.6257115749525617
has_key,last_token,10,48,0.6875,0.6875
has_key,sentence_mean,0,48,0.625,0.625
has_key,sentence_mean,1,65,0.8,0.801707779886148
has_key,sentence_mean,2,77,0.7532467532467533,0.7574324324324324
has_key,sentence_mean,3,68,0.7205882352941176,0.7205882352941178
has_key,sentence_mean,4,67,0.6716417910447762,0.6720142602495545
has_key,sentence_mean,5,69,0.5072463768115942,0.507563025210084
has_key,sentence_mean,6,67,0.6119402985074627,0.6114081996434938
has_key,sentence_mean,7,68,0.6764705882352942,0.6764705882352942
has_key,sentence_mean,8,77,0.7142857142857143,0.7158783783783784
has_key,sentence_mean,9,65,0.7538461538461538,0.7518975332068312
has_key,sentence_mean,10,48,0.6875,0.6875
wall_down,boundary_window_mean,0,48,0.8333333333333334,0.8333333333333334
wall_down,boundary_window_mean,1,65,0.6461538461538462,0.5296052631578947
wall_down,boundary_window_mean,2,77,0.6233766233766234,0.5939542483660131
wall_down,boundary_window_mean,3,68,0.36764705882352944,0.3060263653483992
wall_down,boundary_window_mean,4,67,0.6567164179104478,0.4809322033898305
wall_down,boundary_window_mean,5,69,0.463768115942029,0.3709016393442623
wall_down,boundary_window_mean,6,67,0.5373134328358209,0.5752118644067796
wall_down,boundary_window_mean,7,68,0.5588235294117647,0.46327683615819204
wall_down,boundary_window_mean,8,77,0.5584415584415584,0.6535947712418301
wall_down,boundary_window_mean,9,65,0.5692307692307692,0.4857456140350877
wall_down,boundary_window_mean,10,48,0.4791666666666667,0.27380952380952384
wall_down,last_token,0,48,0.625,0.7142857142857143
wall_down,last_token,1,65,0.6153846153846154,0.4583333333333333
wall_down,last_token,2,77,0.5844155844155844,0.47549019607843135
wall_down,last_token,3,68,0.4264705882352941,0.3870056497175141
wall_down,last_token,4,67,0.417910447761194,0.2913135593220339
wall_down,last_token,5,69,0.463768115942029,0.3709016393442623
wall_down,last_token,6,67,0.417910447761194,0.5074152542372882
wall_down,last_token,7,68,0.5,0.5235404896421846
wall_down,last_token,8,77,0.4935064935064935,0.3758169934640523
wall_down,last_token,9,65,0.5230769230769231,0.4594298245614035
wall_down,last_token,10,48,0.5625,0.39285714285714285
wall_down,sentence_mean,0,48,0.7708333333333334,0.6547619047619048
wall_down,sentence_mean,1,65,0.6615384615384615,0.5921052631578947
wall_down,sentence_mean,2,77,0.6623376623376623,0.5678104575163399
wall_down,sentence_mean,3,68,0.4411764705882353,0.30131826741996237
wall_down,sentence_mean,4,67,0.5074626865671642,0.3961864406779661
wall_down,sentence_mean,5,69,0.5072463768115942,0.5040983606557377
wall_down,sentence_mean,6,67,0.582089552238806,0.5466101694915254
wall_down,sentence_mean,7,68,0.5,0.4764595103578154
wall_down,sentence_mean,8,77,0.6363636363636364,0.6013071895424837
wall_down,sentence_mean,9,65,0.6,0.5570175438596492
wall_down,sentence_mean,10,48,0.625,0.6428571428571428
wall_left,boundary_window_mean,0,48,0.6458333333333334,0.6722222222222223
wall_left,boundary_window_mean,1,65,0.5538461538461539,0.5513211382113821
wall_left,boundary_window_mean,2,77,0.5844155844155844,0.5872340425531914
wall_left,boundary_window_mean,3,68,0.7205882352941176,0.6987353206865402
wall_left,boundary_window_mean,4,67,0.6417910447761194,0.6380813953488372
wall_left,boundary_window_mean,5,69,0.6086956521739131,0.5858013937282229
wall_left,boundary_window_mean,6,67,0.5671641791044776,0.5523255813953488
wall_left,boundary_window_mean,7,68,0.6617647058823529,0.6499548328816621
wall_left,boundary_window_mean,8,77,0.6233766233766234,0.6191489361702127
wall_left,boundary_window_mean,9,65,0.5076923076923077,0.4801829268292683
wall_left,boundary_window_mean,10,48,0.5416666666666666,0.5333333333333333
wall_left,last_token,0,48,0.625,0.6666666666666667
wall_left,last_token,1,65,0.5692307692307692,0.589430894308943
wall_left,last_token,2,77,0.5714285714285714,0.5826241134751773
wall_left,last_token,3,68,0.7058823529411765,0.6865401987353207
wall_left,last_token,4,67,0.5223880597014925,0.5082364341085271
wall_left,last_token,5,69,0.5652173913043478,0.5322299651567944
wall_left,last_token,6,67,0.6268656716417911,0.5988372093023255
wall_left,last_token,7,68,0.5735294117647058,0.54516711833785
wall_left,last_token,8,77,0.5974025974025974,0.5797872340425532
wall_left,last_token,9,65,0.5692307692307692,0.5376016260162602
wall_left,last_token,10,48,0.6875,0.6611111111111112
wall_left,sentence_mean,0,48,0.6458333333333334,0.6499999999999999
wall_left,sentence_mean,1,65,0.5846153846153846,0.584349593495935
wall_left,sentence_mean,2,77,0.5584415584415584,0.5418439716312057
wall_left,sentence_mean,3,68,0.75,0.7357723577235773
wall_left,sentence_mean,4,67,0.6567164179104478,0.622093023255814
wall_left,sentence_mean,5,69,0.6521739130434783,0.6223867595818815
wall_left,sentence_mean,6,67,0.8208955223880597,0.7868217054263565
wall_left,sentence_mean,7,68,0.7205882352941176,0.7113821138211383
wall_left,sentence_mean,8,77,0.6883116883116883,0.6663120567375886
wall_left,sentence_mean,9,65,0.6461538461538462,0.6504065040650406
wall_left,sentence_mean,10,48,0.5208333333333334,0.4833333333333333
wall_right,boundary_window_mean,0,48,0.5,0.5
wall_right,boundary_window_mean,1,65,0.6,0.5953065134099617
wall_right,boundary_window_mean,2,77,0.5844155844155844,0.5755813953488372
wall_right,boundary_window_mean,3,68,0.7058823529411765,0.7061900610287708
wall_right,boundary_window_mean,4,67,0.5373134328358209,0.5380824372759856
wall_right,boundary_window_mean,5,69,0.5072463768115942,0.5080645161290323
wall_right,boundary_window_mean,6,67,0.4925373134328358,0.4896953405017921
wall_right,boundary_window_mean,7,68,0.6911764705882353,0.6874455100261552
wall_right,boundary_window_mean,8,77,0.5064935064935064,0.511969904240766
wall_right,boundary_window_mean,9,65,0.5846153846153846,0.5847701149425287
wall_right,boundary_window_mean,10,48,0.5416666666666666,0.534965034965035
wall_right,last_token,0,48,0.4791666666666667,0.4807692307692308
wall_right,last_token,1,65,0.6,0.6053639846743295
wall_right,last_token,2,77,0.5974025974025974,0.5872093023255813
wall_right,last_token,3,68,0.6470588235294118,0.6390584132519617
wall_right,last_token,4,67,0.5373134328358209,0.5291218637992832
wall_right,last_token,5,69,0.5507246376811594,0.5475382003395586
wall_right,last_token,6,67,0.47761194029850745,0.46908602150537637
wall_right,last_token,7,68,0.5882352941176471,0.5876198779424586
wall_right,last_token,8,77,0.5844155844155844,0.5817373461012312
wall_right,last_token,9,65,0.5076923076923077,0.5019157088122606
wall_right,last_token,10,48,0.6666666666666666,0.6608391608391608
wall_right,sentence_mean,0,48,0.5416666666666666,0.5384615384615384
wall_right,sentence_mean,1,65,0.7384615384615385,0.7404214559386972
wall_right,sentence_mean,2,77,0.7142857142857143,0.713406292749658
wall_right,sentence_mean,3,68,0.6911764705882353,0.6900610287707062
wall_right,sentence_mean,4,67,0.6567164179104478,0.6469534050179211
wall_right,sentence_mean,5,69,0.5942028985507246,0.5899830220713073
wall_right,sentence_mean,6,67,0.6268656716417911,0.6258960573476702
wall_right,sentence_mean,7,68,0.5882352941176471,0.5850043591979075
wall_right,sentence_mean,8,77,0.6233766233766234,0.6196990424076607
wall_right,sentence_mean,9,65,0.7538461538461538,0.7476053639846744
wall_right,sentence_mean,10,48,0.5208333333333334,0.5192307692307692
wall_up,boundary_window_mean,0,48,0.7083333333333334,0.4842105263157895
wall_up,boundary_window_mean,1,65,0.7384615384615385,0.6001400560224089
